[2025-12-04 14:30:56,548] 프로그램 시작
[2025-12-04 14:30:57,633] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-12-04 14:31:17,031] saveLoginData : 데이터 저장 성공
[2025-12-04 14:31:17,136] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:32:00,275] 프로그램 시작
[2025-12-04 14:32:00,396] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-12-04 14:32:00,471] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-12-04 14:32:00,575] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-12-04 14:32:00,655] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-12-04 14:32:00,731] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-12-04 14:32:00,807] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-12-04 14:32:00,900] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-12-04 14:32:00,989] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-12-04 14:32:01,065] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-12-04 14:32:01,141] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-12-04 14:32:01,231] FTP 파일 다운로드 성공(DAESUNG_MES_IF.txt)
[2025-12-04 14:32:02,828] saveLoginData : 데이터 저장 성공
[2025-12-04 14:32:02,889] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:40:22,254] 프로그램 시작
[2025-12-04 14:40:22,347] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-12-04 14:40:22,441] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-12-04 14:40:22,530] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-12-04 14:40:22,607] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-12-04 14:40:22,697] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-12-04 14:40:22,773] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-12-04 14:40:22,849] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-12-04 14:40:22,940] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-12-04 14:40:23,019] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-12-04 14:40:23,125] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-12-04 14:40:23,213] FTP 파일 다운로드 성공(DAESUNG_MES_IF.txt)
[2025-12-04 14:40:24,903] saveLoginData : 데이터 저장 성공
[2025-12-04 14:40:24,973] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:40:37,793] connectPrint : 프린트 연결 실패
[2025-12-04 14:40:37,895] DBload : 작업지시서 취소됨
[2025-12-04 14:40:38,480] connectPrint : 프린트 연결 실패
[2025-12-04 14:40:38,527] DBload : 작업지시서 취소됨
[2025-12-04 14:40:39,461] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:40:39,596] clickRow : 상세페이지 연결 실패
[2025-12-04 14:40:39,986] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:44:30,613] connectPrint : 프린트 연결 실패
[2025-12-04 14:44:30,658] DBload : 작업지시서 취소됨
[2025-12-04 14:44:31,239] connectPrint : 프린트 연결 실패
[2025-12-04 14:44:31,284] DBload : 작업지시서 취소됨
[2025-12-04 14:44:31,880] connectPrint : 프린트 연결 실패
[2025-12-04 14:44:31,925] DBload : 작업지시서 취소됨
[2025-12-04 14:44:32,416] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:44:32,506] clickRow : 상세페이지 연결 실패
[2025-12-04 14:44:32,851] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:44:33,872] connectLight : 경광등(COM4) 비활성
[2025-12-04 14:44:33,963] clickRow : 상세페이지 연결 실패
[2025-12-04 14:44:43,345] 프로그램 시작
[2025-12-04 14:44:43,454] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-12-04 14:44:43,545] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-12-04 14:44:43,624] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-12-04 14:44:43,714] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-12-04 14:44:43,807] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-12-04 14:44:43,897] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-12-04 14:44:43,973] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
