[2025-11-03 00:00:36,966] 프로그램 시작
[2025-11-03 00:00:37,146] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-11-03 00:00:37,237] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-11-03 00:00:37,328] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-11-03 00:00:37,405] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-11-03 00:00:37,482] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-11-03 00:00:37,576] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-11-03 00:00:37,666] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-11-03 00:00:37,743] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-11-03 00:00:37,820] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-11-03 00:00:37,912] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-11-03 00:00:52,714] saveLoginData : 데이터 저장 성공
[2025-11-03 00:00:52,802] connectLight : 경광등(COM4) 비활성
[2025-11-03 00:01:13,087] closeDB : DB(cursor_item) 연결해제 성공
[2025-11-03 00:01:13,087] closeDB : DB 연결해제 성공
[2025-11-03 00:03:12,193] 프로그램 시작
[2025-11-03 00:03:12,298] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-11-03 00:03:12,382] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-11-03 00:03:12,472] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-11-03 00:03:12,563] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-11-03 00:03:12,639] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-11-03 00:03:12,730] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-11-03 00:03:12,822] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-11-03 00:03:12,914] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-11-03 00:03:13,005] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-11-03 00:03:13,098] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-11-03 00:03:14,690] saveLoginData : 데이터 저장 성공
[2025-11-03 00:03:14,759] connectLight : 경광등(COM4) 비활성
[2025-11-03 00:03:23,166] saveLoginData : 데이터 저장 성공
[2025-11-03 00:03:23,225] connectLight : 경광등(COM4) 비활성
[2025-11-03 00:03:24,649] closeDB : DB(cursor_item) 연결해제 성공
[2025-11-03 00:03:24,649] closeDB : DB 연결해제 성공
[2025-11-03 00:03:38,473] 프로그램 시작
