[2025-08-24 22:54:35,912] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-08-24 22:54:35,986] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-08-24 22:54:36,063] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-08-24 22:54:36,138] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-08-24 22:54:36,213] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-08-24 22:54:36,288] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-08-24 22:54:37,406] saveLoginData : 데이터 저장 성공
[2025-08-24 22:54:38,613] closeDB : DB(cursor_item) 연결해제 성공
[2025-08-24 22:54:38,613] closeDB : DB 연결해제 성공
[2025-08-24 22:55:20,629] 프로그램 시작
[2025-08-24 22:55:20,720] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-08-24 22:55:20,810] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-08-24 22:55:20,900] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-08-24 22:55:20,977] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-08-24 22:55:21,052] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-08-24 22:55:21,127] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-08-24 22:55:21,218] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-08-24 22:55:21,295] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-08-24 22:55:21,386] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-08-24 22:55:21,476] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-08-24 22:55:22,749] saveLoginData : 데이터 저장 성공
[2025-08-24 22:55:51,511] closeDB : DB(cursor_item) 연결해제 성공
[2025-08-24 22:55:51,511] closeDB : DB 연결해제 성공
[2025-08-24 23:02:11,841] 프로그램 시작
[2025-08-24 23:02:11,929] FTP 파일 다운로드 성공(DAESUNG_NEW_VERSION.ini)
[2025-08-24 23:02:12,005] FTP 파일 다운로드 성공(DAESUNG_MES_S.txt)
[2025-08-24 23:02:12,081] FTP 파일 다운로드 성공(DAESUNG_MES_S(S).txt)
[2025-08-24 23:02:12,158] FTP 파일 다운로드 성공(DAESUNG_MES_C.txt)
[2025-08-24 23:02:12,231] FTP 파일 다운로드 성공(DAESUNG_MES_C(S).txt)
[2025-08-24 23:02:12,306] FTP 파일 다운로드 성공(DAESUNG_MES_Z.txt)
[2025-08-24 23:02:12,380] FTP 파일 다운로드 성공(DAESUNG_MES_Z(300).txt)
[2025-08-24 23:02:12,457] FTP 파일 다운로드 성공(DAESUNG_MES_Z(S).txt)
[2025-08-24 23:02:12,535] FTP 파일 다운로드 성공(DAESUNG_MES_M.txt)
[2025-08-24 23:02:12,612] FTP 파일 다운로드 성공(DAESUNG_MES_F.txt)
[2025-08-24 23:02:13,904] saveLoginData : 데이터 저장 성공
[2025-08-24 23:03:03,669] closeDB : DB(cursor_item) 연결해제 성공
[2025-08-24 23:03:03,669] closeDB : DB 연결해제 성공
